Titel,Gruppe[Nr],Gruppe[Titel],Gruppe[Oprettet],Gruppe[Rettet],Gruppe[Emner],Gruppe[Filtre],Fritekst
Gruppe_17.04,17.04,"Folkeskoleaktiviteter og -arrangementer",1988-01-01,2012-08-01,"Emne_17.04.00,Emne_17.04.02,Emne_17.04.03,Emne_17.04.04,Emne_17.04.05,Emne_17.04.06,Emne_17.04.07,Emne_17.04.09,Emne_17.04.11,Emne_17.04.13,Emne_17.04.15,Emne_17.04.16,Emne_17.04.18,Emne_17.04.19,Emne_17.04.20,Emne_17.04.22,Emne_17.04.23,Emne_17.04.25,Emne_17.04.30,Emne_17.04.32","FolkeskolenDelplan,PrivatVand,KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.05,17.05,"Folkeskolens prøver",1997-01-01,2014-11-01,"Emne_17.05.00,Emne_17.05.01,Emne_17.05.02,Emne_17.05.03,Emne_17.05.04,Emne_17.05.05,Emne_17.05.06,Emne_17.05.07,Emne_17.05.08,Emne_17.05.10,Emne_17.05.11,Emne_17.05.15,Emne_17.05.20,Emne_17.05.22,Emne_17.05.26,Emne_17.05.28,Emne_17.05.30,Emne_17.05.32","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.06,17.06,"Erhvervsvejledning [udgået]",1988-01-01,,"Emne_17.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_17.07,17.07,"Forældrekontakt",1988-01-01,,"Emne_17.07.00,Emne_17.07.01,Emne_17.07.02","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.08,17.08,"Skolepsykologisk rådgivning [udgået]",1988-01-01,,"Emne_17.08.00","",[[Category:NaN_KLE_Data]]
Gruppe_17.09,17.09,"Uddannelse og uddannelsesinstitutioner efter folkeskolen [udgået]",1988-01-01,,"Emne_17.09.00","",[[Category:NaN_KLE_Data]]
Gruppe_17.10,17.10,"Legater og lån [udgået]",1984-01-01,,"Emne_17.10.00","",[[Category:NaN_KLE_Data]]
Gruppe_17.11,17.11,"Friskoler, efterskoler mv - kommunale bidrag og tilskud ",1988-01-01,2011-08-01,"Emne_17.11.00,Emne_17.11.01,Emne_17.11.02,Emne_17.11.03,Emne_17.11.04,Emne_17.11.05,Emne_17.11.06,Emne_17.11.07,Emne_17.11.08,Emne_17.11.09,Emne_17.11.10,Emne_17.11.16,Emne_17.11.20,Emne_17.11.24,Emne_17.11.28","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.12,17.12,"Alternativ undervisning/udskolingsordninger [udgået]",1988-01-01,,"Emne_17.12.00,Emne_17.12.01,Emne_17.12.05","",[[Category:NaN_KLE_Data]]
Gruppe_17.13,17.13,"Skolens fritidsforanstaltninger",1988-01-01,,"Emne_17.13.00,Emne_17.13.02,Emne_17.13.03,Emne_17.13.10","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.14,17.14,"Forsøgs- og udviklingsarbejde [udgået]",1988-01-01,,"Emne_17.14.00,Emne_17.14.01,Emne_17.14.02","",[[Category:NaN_KLE_Data]]
Gruppe_17.15,17.15,"Undervisning af tosprogede børn/elever",1988-01-01,,"Emne_17.15.00,Emne_17.15.01,Emne_17.15.02,Emne_17.15.03,Emne_17.15.04,Emne_17.15.10","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.20,17.20,"Opfyldelse af undervisningspligten",1988-01-01,,"Emne_17.20.00,Emne_17.20.01,Emne_17.20.02,Emne_17.20.03,Emne_17.20.04,Emne_17.20.05,Emne_17.20.06,Emne_17.20.07,Emne_17.20.08,Emne_17.20.09,Emne_17.20.10,Emne_17.20.11,Emne_17.20.13,Emne_17.20.15,Emne_17.20.16,Emne_17.20.17,Emne_17.20.18,Emne_17.20.19,Emne_17.20.20,Emne_17.20.25","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.21,17.21,"Befordring af elever",1989-01-01,,"Emne_17.21.00,Emne_17.21.01,Emne_17.21.02,Emne_17.21.03,Emne_17.21.05,Emne_17.21.15","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.25,17.25,"Private skoler/friskoler [udgået]",1988-01-01,,"Emne_17.25.00","",[[Category:NaN_KLE_Data]]
Gruppe_17.27,17.27,"Uddannelsesvejledning",1997-01-01,2014-11-01,"Emne_17.27.00,Emne_17.27.01,Emne_17.27.05,Emne_17.27.06,Emne_17.27.07,Emne_17.27.10,Emne_17.27.12,Emne_17.27.14,Emne_17.27.15,Emne_17.27.16,Emne_17.27.17,Emne_17.27.18,Emne_17.27.19,Emne_17.27.20,Emne_17.27.21,Emne_17.27.22,Emne_17.27.24,Emne_17.27.25,Emne_17.27.26,Emne_17.27.28","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.30,17.30,"Øvelsesskolevirksomhed [udgået]",1992-01-01,2010-11-01,"Emne_17.30.00","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.32,17.32,"Danskuddannelse til voksne udlændinge m.fl. [udgået]",1995-01-01,2004-08-01,"Emne_17.32.00,Emne_17.32.01,Emne_17.32.05,Emne_17.32.06,Emne_17.32.07,Emne_17.32.08,Emne_17.32.09,Emne_17.32.10,Emne_17.32.11,Emne_17.32.12,Emne_17.32.13,Emne_17.32.14,Emne_17.32.15,Emne_17.32.20,Emne_17.32.25,Emne_17.32.26,Emne_17.32.28,Emne_17.32.30","JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.33,17.33,"Kurser og undervisning for udlændinge [udgået]",1999-01-01,,"Emne_17.33.00,Emne_17.33.01,Emne_17.33.02,Emne_17.33.03","JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_17.35,17.35,"Betaling på folkeskoleområdet",2008-08-01,,"Emne_17.35.00,Emne_17.35.02,Emne_17.35.04,Emne_17.35.06,Emne_17.35.08,Emne_17.35.16","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.00,18.00,"Folkeoplysning og ungdomsskoler",1988-01-01,2011-05-01,"Emne_18.00.00","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.01,18.01,"Ungdomsskolens generelle og overordnede forhold",1988-01-01,,"Emne_18.01.00,Emne_18.01.01,Emne_18.01.02,Emne_18.01.03,Emne_18.01.05,Emne_18.01.06,Emne_18.01.07,Emne_18.01.08,Emne_18.01.10,Emne_18.01.11,Emne_18.01.12,Emne_18.01.13,Emne_18.01.14,Emne_18.01.20,Emne_18.01.30","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.02,18.02,"Fritidsvirksomhed for børn og unge [udgået]",1988-01-01,,"Emne_18.02.00,Emne_18.02.01,Emne_18.02.02,Emne_18.02.03","",[[Category:NaN_KLE_Data]]
Gruppe_18.03,18.03,"Fritidsundervisning for voksne [udgået]",1988-01-01,,"Emne_18.03.00,Emne_18.03.01,Emne_18.03.02,Emne_18.03.03,Emne_18.03.04,Emne_18.03.05,Emne_18.03.06,Emne_18.03.07,Emne_18.03.08","",[[Category:NaN_KLE_Data]]
Gruppe_18.04,18.04,"Supplerende kulturelle arrangementer [udgået]",1988-01-01,,"Emne_18.04.00","",[[Category:NaN_KLE_Data]]
Gruppe_18.05,18.05,"Folkeuniversitetsvirksomhed [udgået]",1988-01-01,,"Emne_18.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_18.06,18.06,"Lokaletilskud [udgået]",1988-01-01,,"Emne_18.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_18.07,18.07,"Undervisning af indvandrere [udgået]",1988-01-01,,"Emne_18.07.00","",[[Category:NaN_KLE_Data]]
Gruppe_18.09,18.09,"Ungdomsskolens bestyrelse, råd",1988-01-01,,"Emne_18.09.00,Emne_18.09.01,Emne_18.09.02,Emne_18.09.05,Emne_18.09.10","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.10,18.10,"Ungdomsskoletilbud, ikke-obligatorisk undervisning",1996-01-01,2005-02-01,"Emne_18.10.00,Emne_18.10.01,Emne_18.10.02,Emne_18.10.03,Emne_18.10.04,Emne_18.10.05,Emne_18.10.06,Emne_18.10.07,Emne_18.10.08,Emne_18.10.10,Emne_18.10.15","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.12,18.12,"Klubvirksomhed",1996-01-01,2005-02-01,"Emne_18.12.00,Emne_18.12.01,Emne_18.12.02,Emne_18.12.03,Emne_18.12.05","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.13,18.13,"Fritidsvirksomhed",1996-01-01,2005-02-01,"Emne_18.13.00","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.14,18.14,"Folkeoplysning",1992-01-01,,"Emne_18.14.00,Emne_18.14.01,Emne_18.14.05,Emne_18.14.10,Emne_18.14.15","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.15,18.15,"Fordeling af tilskud og rammer efter folkeoplysningsloven",1991-01-01,2007-08-01,"Emne_18.15.00,Emne_18.15.01,Emne_18.15.05,Emne_18.15.10,Emne_18.15.12,Emne_18.15.15,Emne_18.15.30","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.16,18.16,"Fritidsaktiviteter uden for folkeoplysningsloven",1992-01-01,,"Emne_18.16.00","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_18.17,18.17,"Produktionsskoler (selvejende)",1991-01-01,2005-02-01,"Emne_18.17.00","",[[Category:NaN_KLE_Data]]
Gruppe_18.18,18.18,"Daghøjskoler (selvejende)",1992-01-01,,"Emne_18.18.00","",[[Category:NaN_KLE_Data]]
Gruppe_18.20,18.20,"Idræt",2006-08-01,2007-11-01,"Emne_18.20.00,Emne_18.20.02,Emne_18.20.04","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_19.00,19.00,"Kulturhistoriske institutioner",1988-01-01,,"Emne_19.00.00,Emne_19.00.01","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_19.01,19.01,"Særlige udstillinger og arrangementer uden for museums-/arkivsammenhæng",1988-01-01,,"Emne_19.01.00","",[[Category:NaN_KLE_Data]]
Gruppe_19.02,19.02,"Arkiver",1988-01-01,,"Emne_19.02.00,Emne_19.02.01,Emne_19.02.02,Emne_19.02.03,Emne_19.02.04,Emne_19.02.06,Emne_19.02.09,Emne_19.02.10,Emne_19.02.11,Emne_19.02.12,Emne_19.02.15,Emne_19.02.17,Emne_19.02.18,Emne_19.02.19","",[[Category:NaN_KLE_Data]]
Gruppe_19.03,19.03,"Museer",1988-01-01,,"Emne_19.03.00,Emne_19.03.01,Emne_19.03.02,Emne_19.03.03,Emne_19.03.04,Emne_19.03.06,Emne_19.03.08,Emne_19.03.10,Emne_19.03.11,Emne_19.03.12,Emne_19.03.15,Emne_19.03.17,Emne_19.03.20,Emne_19.03.22,Emne_19.03.25,Emne_19.03.30,Emne_19.03.36,Emne_19.03.44","",[[Category:NaN_KLE_Data]]
Gruppe_20.00,20.00,"Kulturvirksomhed",1988-01-01,2013-08-01,"Emne_20.00.00","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.01,20.01,"Teatervirksomhed",1988-01-01,,"Emne_20.01.00,Emne_20.01.01,Emne_20.01.02,Emne_20.01.05,Emne_20.01.06,Emne_20.01.07,Emne_20.01.08,Emne_20.01.09,Emne_20.01.10,Emne_20.01.15","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.02,20.02,"Biografer/film mv.",1988-01-01,,"Emne_20.02.00,Emne_20.02.01,Emne_20.02.02,Emne_20.02.03,Emne_20.02.05,Emne_20.02.06","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.03,20.03,"Musikvirksomhed (ud over musikskole)",1988-01-01,,"Emne_20.03.00,Emne_20.03.01,Emne_20.03.02,Emne_20.03.03,Emne_20.03.04,Emne_20.03.05,Emne_20.03.10,Emne_20.03.12,Emne_20.03.14,Emne_20.03.20","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.04,20.04,"Kunstvirksomhed",1988-01-01,,"Emne_20.04.00,Emne_20.04.01,Emne_20.04.02,Emne_20.04.03,Emne_20.04.04,Emne_20.04.05,Emne_20.04.10","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.05,20.05,"Lokal tv og radio",1988-01-01,2005-02-01,"Emne_20.05.00,Emne_20.05.01,Emne_20.05.10,Emne_20.05.15,Emne_20.05.16","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.07,20.07,"Musikskoler",1988-01-01,,"Emne_20.07.00,Emne_20.07.01,Emne_20.07.02,Emne_20.07.03,Emne_20.07.04,Emne_20.07.05,Emne_20.07.10,Emne_20.07.11,Emne_20.07.15,Emne_20.07.20,Emne_20.07.25","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.08,20.08,"Billedskoler",2005-08-01,,"Emne_20.08.00,Emne_20.08.02,Emne_20.08.04,Emne_20.08.06,Emne_20.08.10,Emne_20.08.12,Emne_20.08.16,Emne_20.08.20,Emne_20.08.25","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.10,20.10,"Medborger- og forsamlingshuses virksomhed",1988-01-01,2003-08-01,"Emne_20.10.00,Emne_20.10.02,Emne_20.10.04","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_20.11,20.11,"Musik- og kulturhuses virksomhed",1992-01-01,2003-08-01,"Emne_20.11.00,Emne_20.11.02,Emne_20.11.04","",[[Category:NaN_KLE_Data]]
Gruppe_20.13,20.13,"Øvrige kulturinstitutioner (selvejende)",2004-08-01,,"Emne_20.13.00","",[[Category:NaN_KLE_Data]]
Gruppe_20.15,20.15,"Karneval, musikuger, festuger og festivaler mv.",1988-01-01,,"Emne_20.15.00","",[[Category:NaN_KLE_Data]]
Gruppe_20.20,20.20,"Kulturaftaler",2008-02-01,,"Emne_20.20.00","",[[Category:NaN_KLE_Data]]
Gruppe_20.30,20.30,"Skoletjeneste",2013-08-01,,"Emne_20.30.00","",[[Category:NaN_KLE_Data]]
Gruppe_21.00,21.00,"Biblioteker",1988-01-01,2011-05-01,"Emne_21.00.00,Emne_21.00.01,Emne_21.00.02,Emne_21.00.03,Emne_21.00.05,Emne_21.00.07,Emne_21.00.10,Emne_21.00.15","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_21.01,21.01,"Udlånsvirksomhed",1988-01-01,,"Emne_21.01.00,Emne_21.01.01,Emne_21.01.02,Emne_21.01.03,Emne_21.01.04,Emne_21.01.05,Emne_21.01.10,Emne_21.01.12,Emne_21.01.14,Emne_21.01.16,Emne_21.01.18,Emne_21.01.20","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_21.02,21.02,"Benyttelse på stedet",1988-01-01,2007-08-01,"Emne_21.02.00,Emne_21.02.05,Emne_21.02.10","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_21.03,21.03,"Materialesamlinger",2003-08-01,,"Emne_21.03.00","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_21.05,21.05,"AV-materialer",1988-01-01,2013-05-01,"Emne_21.05.00","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_21.06,21.06,"Folkeskolens pædagogiske læringscentre",1988-01-01,2014-08-01,"Emne_21.06.00,Emne_21.06.01,Emne_21.06.02,Emne_21.06.03,Emne_21.06.04,Emne_21.06.05","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_21.07,21.07,"Bibliotekssamarbejde",1988-01-01,,"Emne_21.07.00","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_21.08,21.08,"Biblioteksbetjening af institutioner og enkelte befolkningsgrupper",1988-01-01,2013-05-01,"Emne_21.08.00,Emne_21.08.01,Emne_21.08.02,Emne_21.08.03,Emne_21.08.04,Emne_21.08.06","FolkeskolenDelplan",[[Category:NaN_KLE_Data]]
Gruppe_21.09,21.09,"Fysisk biblioteksstruktur, bogbusser mv.",1988-01-01,2007-08-01,"Emne_21.09.00","",[[Category:NaN_KLE_Data]]
Gruppe_21.10,21.10,"Biblioteksudstillinger og –arrangementer",1988-01-01,2013-05-01,"Emne_21.10.00","",[[Category:NaN_KLE_Data]]
Gruppe_21.11,21.11,"Formidling og referencearbejde",1988-01-01,,"Emne_21.11.00","",[[Category:NaN_KLE_Data]]
Gruppe_21.15,21.15,"Særlige rekvirerede biblioteksydelser",2001-01-01,2013-05-01,"Emne_21.15.00","",[[Category:NaN_KLE_Data]]
Gruppe_21.20,21.20,"Bibliotekernes nettjenester",2007-08-01,,"Emne_21.20.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.00,22.00,"Regulering af private erhverv",1988-01-01,,"Emne_22.00.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.01,22.01,"Restaurations- og hotelvirksomhed",1988-01-01,,"Emne_22.01.00,Emne_22.01.01,Emne_22.01.02,Emne_22.01.03,Emne_22.01.04,Emne_22.01.05,Emne_22.01.06,Emne_22.01.10","",[[Category:NaN_KLE_Data]]
Gruppe_22.03,22.03,"Forretningers åbningstid (butikstid)",1988-01-01,,"Emne_22.03.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.04,22.04,"Kommunale autorisationer [udgået]",1988-01-01,,"Emne_22.04.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.05,22.05,"Autorisation af gas-, og vand- og sanitetsmestre [udgået]",1984-01-01,,"Emne_22.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.06,22.06,"Autorisation af kloakmestre [udgået]",1984-01-01,,"Emne_22.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.07,22.07,"Apotekerbevilling [udgået]",1984-01-01,,"Emne_22.07.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.08,22.08,"Autorisation af elinstallatører [udgået]",1984-01-01,,"Emne_22.08.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.09,22.09,"Biografbevilling (tilladelse til offentlig filmforevisning)",1988-01-01,,"Emne_22.09.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.11,22.11,"Taxikørsel",1988-01-01,2009-11-01,"Emne_22.11.00,Emne_22.11.01,Emne_22.11.02,Emne_22.11.03,Emne_22.11.04,Emne_22.11.05,Emne_22.11.10,Emne_22.11.14,Emne_22.11.18,Emne_22.11.22,Emne_22.11.26,Emne_22.11.30,Emne_22.11.34,Emne_22.11.38","",[[Category:NaN_KLE_Data]]
Gruppe_22.12,22.12,"Fragttrafik [udgået]",1988-01-01,,"Emne_22.12.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.13,22.13,"Buskørsel [udgået]",1988-01-01,,"Emne_22.13.00","",[[Category:NaN_KLE_Data]]
Gruppe_22.14,22.14,"Spillekasinoer, kontrollanter [udgået]",1995-01-01,2010-11-01,"Emne_22.14.00","",[[Category:NaN_KLE_Data]]
Gruppe_23.00,23.00,"Borgerlige forhold",1988-01-01,,"Emne_23.00.00","",[[Category:NaN_KLE_Data]]
Gruppe_23.01,23.01,"Vielse",1988-01-01,2012-11-01,"Emne_23.01.00,Emne_23.01.01,Emne_23.01.02,Emne_23.01.03,Emne_23.01.06,Emne_23.01.10","",[[Category:NaN_KLE_Data]]
Gruppe_23.02,23.02,"Indfødsret [udgået]",1988-01-01,,"Emne_23.02.00","",[[Category:NaN_KLE_Data]]
Gruppe_23.03,23.03,"Umyndiggørelse [udgået]",1988-01-01,,"Emne_23.03.00","",[[Category:NaN_KLE_Data]]
Gruppe_23.04,23.04,"Navneændring",1988-01-01,,"Emne_23.04.00","",[[Category:NaN_KLE_Data]]
Gruppe_23.05,23.05,"Folkeregistrering",1988-01-01,,"Emne_23.05.00,Emne_23.05.01,Emne_23.05.02,Emne_23.05.03,Emne_23.05.05,Emne_23.05.08,Emne_23.05.10,Emne_23.05.12,Emne_23.05.13,Emne_23.05.14","",[[Category:NaN_KLE_Data]]
Gruppe_23.06,23.06,"Borgerlig personregistrering",2006-08-01,2015-05-01,"Emne_23.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_23.07,23.07,"Legitimation af borgere",2004-08-01,,"Emne_23.07.00,Emne_23.07.02","",[[Category:NaN_KLE_Data]]
Gruppe_23.09,23.09,"Kørekort og pas",2006-08-01,,"Emne_23.09.00,Emne_23.09.02,Emne_23.09.04","",[[Category:NaN_KLE_Data]]
Gruppe_23.15,23.15,"Fysiske personers tilslutning",2012-11-01,,"Emne_23.15.00,Emne_23.15.10,Emne_23.15.15","",[[Category:NaN_KLE_Data]]
Gruppe_23.19,23.19,"Undtagelse af borgere fra digital selvbetjening",2014-11-01,,"Emne_23.19.00,Emne_23.19.04,Emne_23.19.08,Emne_23.19.12,Emne_23.19.16,Emne_23.19.20,Emne_23.19.24,Emne_23.19.28","",[[Category:NaN_KLE_Data]]
Gruppe_24.00,24.00,"Erhvervsforhold",1988-01-01,,"Emne_24.00.00,Emne_24.00.01,Emne_24.00.15","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_24.01,24.01,"Landbrugsforhold",1988-01-01,,"Emne_24.01.00,Emne_24.01.05","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_24.02,24.02,"Handel, håndværk, industri",1988-01-01,,"Emne_24.02.00","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_24.03,24.03,"Skovbrug",1988-01-01,,"Emne_24.03.00","",[[Category:NaN_KLE_Data]]
Gruppe_24.04,24.04,"Fiskeri",1988-01-01,,"Emne_24.04.00","",[[Category:NaN_KLE_Data]]
Gruppe_24.05,24.05,"Turistvæsen",1988-01-01,,"Emne_24.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_24.09,24.09,"Øvrige erhverv",1988-01-01,,"Emne_24.09.00","",[[Category:NaN_KLE_Data]]
Gruppe_24.10,24.10,"Erhvervsfremme",1988-01-01,2006-08-01,"Emne_24.10.00,Emne_24.10.01,Emne_24.10.02,Emne_24.10.03,Emne_24.10.04,Emne_24.10.05,Emne_24.10.06,Emne_24.10.07,Emne_24.10.11","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_24.11,24.11,"Hjemmeservice [udgået]",1994-01-01,,"Emne_24.11.00,Emne_24.11.01,Emne_24.11.02,Emne_24.11.05","",[[Category:NaN_KLE_Data]]
Gruppe_24.14,24.14,"Medieproduktion",2013-11-01,,"Emne_24.14.00,Emne_24.14.05","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_24.15,24.15,"Kommunal eksport/salg",1997-01-01,,"Emne_24.15.00,Emne_24.15.01,Emne_24.15.02,Emne_24.15.03,Emne_24.15.05","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_25.00,25.00,"Beskatning ",1988-01-01,,"Emne_25.00.00,Emne_25.00.01,Emne_25.00.05","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_25.01,25.01,"Indkomstbeskatning [udgået]",1988-01-01,,"Emne_25.01.00,Emne_25.01.02,Emne_25.01.03,Emne_25.01.04,Emne_25.01.10,Emne_25.01.11,Emne_25.01.12,Emne_25.01.13,Emne_25.01.14,Emne_25.01.15,Emne_25.01.16,Emne_25.01.17,Emne_25.01.18,Emne_25.01.19,Emne_25.01.20,Emne_25.01.21,Emne_25.01.22,Emne_25.01.23,Emne_25.01.24,Emne_25.01.25,Emne_25.01.26,Emne_25.01.27,Emne_25.01.28,Emne_25.01.29,Emne_25.01.30,Emne_25.01.31","",[[Category:NaN_KLE_Data]]
Gruppe_25.02,25.02,"Ejendomsbeskatning",1988-01-01,,"Emne_25.02.00,Emne_25.02.01,Emne_25.02.02,Emne_25.02.03,Emne_25.02.04,Emne_25.02.08,Emne_25.02.09","",[[Category:NaN_KLE_Data]]
Gruppe_25.03,25.03,"Ejendomsvurdering",1988-01-01,,"Emne_25.03.00,Emne_25.03.01,Emne_25.03.02,Emne_25.03.10,Emne_25.03.15","",[[Category:NaN_KLE_Data]]
Gruppe_25.04,25.04,"Indirekte skatter [udgået]",1987-01-01,,"Emne_25.04.00,Emne_25.04.02,Emne_25.04.03,Emne_25.04.04,Emne_25.04.05,Emne_25.04.06,Emne_25.04.07,Emne_25.04.08","",[[Category:NaN_KLE_Data]]
Gruppe_25.05,25.05,"Kirkeskat",1988-01-01,2005-02-01,"Emne_25.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_25.10,25.10,"Borgerbetjening på skatteområdet",2009-02-01,,"Emne_25.10.00,Emne_25.10.05,Emne_25.10.10,Emne_25.10.15,Emne_25.10.20,Emne_25.10.25","",[[Category:NaN_KLE_Data]]
Gruppe_25.14,25.14,"Afgifter og bidrag samt jordrente [udgået]",1988-01-01,,"Emne_25.14.00","",[[Category:NaN_KLE_Data]]
Gruppe_25.17,25.17,"Ejendomsværdiskat [udgået]",2000-01-01,,"Emne_25.17.00,Emne_25.17.01,Emne_25.17.02,Emne_25.17.03,Emne_25.17.04,Emne_25.17.05,Emne_25.17.10","",[[Category:NaN_KLE_Data]]
Gruppe_25.20,25.20,"Skattegrundlag",1993-01-01,1984-01-01,"Emne_25.20.00,Emne_25.20.01,Emne_25.20.02,Emne_25.20.03,Emne_25.20.04,Emne_25.20.05,Emne_25.20.06,Emne_25.20.10","",[[Category:NaN_KLE_Data]]
Gruppe_25.24,25.24,"Skattebøder [udgået]",1984-01-01,,"Emne_25.24.00","",[[Category:NaN_KLE_Data]]
Gruppe_25.25,25.25,"Udarbejdelse af ligningsplan [udgået]",1993-01-01,2005-02-01,"Emne_25.25.00,Emne_25.25.01,Emne_25.25.02,Emne_25.25.03,Emne_25.25.04,Emne_25.25.05","",[[Category:NaN_KLE_Data]]
Gruppe_25.26,25.26,"Forebyggende kontrol og information [udgået]",1988-01-01,,"Emne_25.26.00,Emne_25.26.01,Emne_25.26.02,Emne_25.26.03,Emne_25.26.04","",[[Category:NaN_KLE_Data]]
Gruppe_25.28,25.28,"Forskudsregistrering [udgået]",1994-01-01,,"Emne_25.28.00","",[[Category:NaN_KLE_Data]]
Gruppe_25.30,25.30,"Subjektiv skattepligt (skattepligtsspørgsmål) [udgået]",1993-01-01,,"Emne_25.30.00,Emne_25.30.01,Emne_25.30.02","",[[Category:NaN_KLE_Data]]
Gruppe_25.31,25.31,"Lønmodtagere [udgået]",1993-01-01,,"Emne_25.31.00,Emne_25.31.01,Emne_25.31.02,Emne_25.31.03,Emne_25.31.04","",[[Category:NaN_KLE_Data]]
Gruppe_25.32,25.32,"Selvstændige erhvervsdrivende [udgået]",1993-01-01,2005-02-01,"Emne_25.32.00,Emne_25.32.01,Emne_25.32.02,Emne_25.32.03,Emne_25.32.04,Emne_25.32.05","",[[Category:NaN_KLE_Data]]
Gruppe_25.33,25.33,"Udenlandsbeskatning [udgået]",1993-01-01,,"Emne_25.33.00,Emne_25.33.01,Emne_25.33.02","",[[Category:NaN_KLE_Data]]
Gruppe_25.34,25.34,"Ansøgning om eftergivelse/lempelse [udgået]",1993-01-01,,"Emne_25.34.00,Emne_25.34.01,Emne_25.34.02","",[[Category:NaN_KLE_Data]]
Gruppe_25.35,25.35,"Selskabs- og aktionærbeskatning [udgået]",1993-01-01,,"Emne_25.35.00,Emne_25.35.01,Emne_25.35.02,Emne_25.35.03,Emne_25.35.04,Emne_25.35.05,Emne_25.35.06","",[[Category:NaN_KLE_Data]]
Gruppe_25.36,25.36,"Pensionsbeskatning [udgået]",1993-01-01,,"Emne_25.36.00","",[[Category:NaN_KLE_Data]]
