Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"Retssikkerhedsloven_A20140101929_P48","Retssikkerhedsloven","§ 48","A20140101929_P48",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P12a","Sundhedsloven","§ 12a, Stk.1","A20140120229_P12a",[[Category:NaN_KLE_Data]]
"BEK om Udbetaling Danmarks opgaver vedrørende international social sikring_B20130056405","BEK om Udbetaling Danmarks opgaver vedrørende international social sikring","","B20130056405",[[Category:NaN_KLE_Data]]
"Sygehusbekendtgørelsen_B20140095805_P46","Sygehusbekendtgørelsen","§ 46","B20140095805_P46",[[Category:NaN_KLE_Data]]
"LBK om regionernes finansiering_A20110079729_P13-14","LBK om regionernes finansiering","§ 13-14","A20110079729_P13-14",[[Category:NaN_KLE_Data]]
"LBK om regionernes finansiering_A20110079729_P14","LBK om regionernes finansiering","§ 14","A20110079729_P14",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P238-240a","Sundhedsloven","§ 238-240a","A20140120229_P238-240a",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P119","Sundhedsloven","§ 119","A20140120229_P119",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P119","Sundhedsloven","§ 119","A20140120229_P119",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P119","Sundhedsloven","§ 119","A20140120229_P119",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om sterilisation og kastration_B20140095705_P2","BEK om sterilisation og kastration","§ 2","B20140095705_P2",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P198-199","Sundhedsloven","§ 198-199","A20140120229_P198-199",[[Category:NaN_KLE_Data]]
"BEK om rapportering af utilsigtede hændelser i sundhedsvæsenet m.v._B20110000105","BEK om rapportering af utilsigtede hændelser i sundhedsvæsenet m.v.","","B20110000105",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229","Sundhedsloven","","A20140120229",[[Category:NaN_KLE_Data]]
"BEK om forebyggende sundhedsydelser for børn og unge_B20100134405_P8","BEK om forebyggende sundhedsydelser for børn og unge","§ 8","B20100134405_P8",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P121","Sundhedsloven","§ 121","A20140120229_P121",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om forebyggende sundhedsydelser for børn og unge_B20100134405_P9","BEK om forebyggende sundhedsydelser for børn og unge","§ 9","B20100134405_P9",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P120","Sundhedsloven","§ 120","A20140120229_P120",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om forebyggende sundhedsydelser for børn og unge_B20100134405_P10","BEK om forebyggende sundhedsydelser for børn og unge","§ 10","B20100134405_P10",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P122-123","Sundhedsloven","§ 122-123","A20140120229_P122-123",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om forebyggende sundhedsydelser for børn og unge_B20100134405_P12-16","BEK om forebyggende sundhedsydelser for børn og unge","§ 12-16","B20100134405_P12-16",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P124","Sundhedsloven","§ 124","A20140120229_P124",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om forebyggende sundhedsydelser for børn og unge_B20100134405_P17-19","BEK om forebyggende sundhedsydelser for børn og unge","§ 17-19","B20100134405_P17-19",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P124","Sundhedsloven","§ 124","A20140120229_P124",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om forebyggende sundhedsydelser for børn og unge_B20100134405_P17-19","BEK om forebyggende sundhedsydelser for børn og unge","§ 17-19","B20100134405_P17-19",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229","Sundhedsloven","","A20140120229",[[Category:NaN_KLE_Data]]
"BEK om forebyggende sundhedsydelser for børn og unge_B20100134405_P11","BEK om forebyggende sundhedsydelser for børn og unge","§ 11","B20100134405_P11",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P127-129","Sundhedsloven","§ 127-129","A20140120229_P127-129",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"Tandplejebekendtgørelsen_B20120017905","Tandplejebekendtgørelsen","","B20120017905",[[Category:NaN_KLE_Data]]
"LBK om klage- og erstatningsadgang inden for sundhedsvæsenet_A20110111329_P5","LBK om klage- og erstatningsadgang inden for sundhedsvæsenet","§ 5, Stk.1","A20110111329_P5",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P131-132","Sundhedsloven","§ 131-132","A20140120229_P131-132",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"Tandplejebekendtgørelsen_B20120017905","Tandplejebekendtgørelsen","","B20120017905",[[Category:NaN_KLE_Data]]
"LBK om klage- og erstatningsadgang inden for sundhedsvæsenet_A20110111329_P5","LBK om klage- og erstatningsadgang inden for sundhedsvæsenet","§ 5, Stk.1","A20110111329_P5",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P133-134","Sundhedsloven","§ 133-134","A20140120229_P133-134",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"Tandplejebekendtgørelsen_B20120017905","Tandplejebekendtgørelsen","","B20120017905",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P135","Sundhedsloven","§ 135","A20140120229_P135",[[Category:NaN_KLE_Data]]
"Tandplejebekendtgørelsen_B20120017905_P17","Tandplejebekendtgørelsen","§ 17","B20120017905_P17",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P138","Sundhedsloven","§ 138","A20140120229_P138",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om hjemmesygepleje_B20070160105","BEK om hjemmesygepleje","","B20070160105",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P140","Sundhedsloven","§ 140","A20140120229_P140",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om genoptræningsplaner og om patienters valg af genoptræningstilbud efter udskrivning fra sygehus_B20140108805","BEK om genoptræningsplaner og om patienters valg af genoptræningstilbud efter udskrivning fra sygehus","","B20140108805",[[Category:NaN_KLE_Data]]
"LBK om klage- og erstatningsadgang inden for sundhedsvæsenet_A20110111329_P5","LBK om klage- og erstatningsadgang inden for sundhedsvæsenet","§ 5, Stk.1","A20110111329_P5",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P140a-140b","Sundhedsloven","§ 140a-140b","A20140120229_P140a-140b",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om tilskud til fysioterapi hos fysioterapeut i praksissektoren og vederlagsfri fysioterapi hos fysioterapeut i praksissektoren og i kommunen_B20080071005","BEK om tilskud til fysioterapi hos fysioterapeut i praksissektoren og vederlagsfri fysioterapi hos fysioterapeut i praksissektoren og i kommunen","","B20080071005",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P141-141g","Sundhedsloven","§ 141-141g","A20140120229_P141-141g",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P142","Sundhedsloven","§ 142","A20140120229_P142",[[Category:NaN_KLE_Data]]
"BEK om adgang til kommunale og regionale sundhedsydelser der ikke er sygehusbehandling til personer fra andre EU/EØS-lande Færøerne og Grønland_B20130165805","BEK om adgang til kommunale og regionale sundhedsydelser, der ikke er sygehusbehandling, til personer fra andre EU/EØS-lande, Færøerne og Grønland","","B20130165805",[[Category:NaN_KLE_Data]]
"BEK om indberetning af lægelig stofmisbrugsbehandling og indsats mod hepatitis C blandt stofmisbrugere_B20100170005","BEK om indberetning af lægelig stofmisbrugsbehandling og indsats mod hepatitis C blandt stofmisbrugere","","B20100170005",[[Category:NaN_KLE_Data]]
"BEK om kommunernes indberetning af stofmisbrugsbehandling til Sundhedsstyrelsen_B20100003005","BEK om kommunernes indberetning af stofmisbrugsbehandling til Sundhedsstyrelsen","","B20100003005",[[Category:NaN_KLE_Data]]
"Lov om ændring af lov om euforiserende stoffer_A20120060630_P3b","Lov om ændring af lov om euforiserende stoffer","§ 3b","A20120060630_P3b",[[Category:NaN_KLE_Data]]
"LBK om euforiserende stoffer_A20080074829_P3b","LBK om euforiserende stoffer","§ 3b","A20080074829_P3b",[[Category:NaN_KLE_Data]]
"LBK om klage- og erstatningsadgang inden for sundhedsvæsenet_A20110111329_P5","LBK om klage- og erstatningsadgang inden for sundhedsvæsenet","§ 5, Stk.1","A20110111329_P5",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P170-174","Sundhedsloven","§ 170-174","A20140120229_P170-174",[[Category:NaN_KLE_Data]]
"BEK om befordring eller befordringsgodtgørelse efter sundhedsloven_B20140095905","BEK om befordring eller befordringsgodtgørelse efter sundhedsloven","","B20140095905",[[Category:NaN_KLE_Data]]
"Lov om ændring af sundhedsloven og lov om klage- og erstatningsadgang inden for sundhedsvæsenet_A20130090430","Lov om ændring af sundhedsloven og lov om klage- og erstatningsadgang inden for sundhedsvæsenet","","A20130090430",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P204","Sundhedsloven","§ 204","A20140120229_P204",[[Category:NaN_KLE_Data]]
"BEK om sundhedskoordinationsudvalg og sundhedsaftaler_B20130156905","BEK om sundhedskoordinationsudvalg og sundhedsaftaler","","B20130156905",[[Category:NaN_KLE_Data]]
"Lov om ændring af sundhedsloven (Hjælperordninger til personer med kronisk respirationsinsufficiens)_A20140153730","Lov om ændring af sundhedsloven (Hjælperordninger til personer med kronisk respirationsinsufficiens)","","A20140153730",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P78","Sundhedsloven","§ 78","A20140120229_P78",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P205-205a","Sundhedsloven","§ 205-205a","A20140120229_P205-205a",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P205d","Sundhedsloven","§ 205d","A20140120229_P205d",[[Category:NaN_KLE_Data]]
"BEK om sundhedskoordinationsudvalg og sundhedsaftaler_B20130156905","BEK om sundhedskoordinationsudvalg og sundhedsaftaler","","B20130156905",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P210","Sundhedsloven","§ 210","A20140120229_P210",[[Category:NaN_KLE_Data]]
"BEK om planlægning af sundhedsberedskabet og det præhospitale beredskab samt uddannelse af ambulancepersonale m.v._B20110115005","BEK om planlægning af sundhedsberedskabet og det præhospitale beredskab samt uddannelse af ambulancepersonale m.v.","","B20110115005",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P227","Sundhedsloven","§ 227","A20140120229_P227",[[Category:NaN_KLE_Data]]
"BEK om tilskud til fodbehandling i praksissektoren_B20110049105_P3","BEK om tilskud til fodbehandling i praksissektoren","§ 3, Stk.3","B20110049105_P3",[[Category:NaN_KLE_Data]]
"Bekendtgørelse af udlændingeloven_A20140102129_P42a","Bekendtgørelse af udlændingeloven","§ 42a, Stk.1","A20140102129_P42a",[[Category:NaN_KLE_Data]]
"Retsplejeloven_A20140130829_P111-112","Retsplejeloven","§ 111-112","A20140130829_P111-112",[[Category:NaN_KLE_Data]]
"Retsplejeloven_A20140130829_P68","Retsplejeloven","§ 68","A20140130829_P68",[[Category:NaN_KLE_Data]]
"Retsplejeloven_A20140130829_P72","Retsplejeloven","§ 72","A20140130829_P72",[[Category:NaN_KLE_Data]]
"BEK om grundlister _B19900080905","BEK om grundlister ","","B19900080905",[[Category:NaN_KLE_Data]]
"Hjemmeværnsloven_A20070019829_P9","Hjemmeværnsloven","§ 9","A20070019829_P9",[[Category:NaN_KLE_Data]]
"Postlov_A20100153630_P9","Postlov","§ 9","A20100153630_P9",[[Category:NaN_KLE_Data]]
"Postlov_A20100153630_P17","Postlov","§ 17","A20100153630_P17",[[Category:NaN_KLE_Data]]
"Bekendtgørelse af udlændingeloven_A20140102129_P42a","Bekendtgørelse af udlændingeloven","§ 42a, Stk.5","A20140102129_P42a",[[Category:NaN_KLE_Data]]
"Statsforvaltningsloven_A20050054230","Statsforvaltningsloven","","A20050054230",[[Category:NaN_KLE_Data]]
"LBK om dansk indfødsret_A20040042229","LBK om dansk indfødsret","","A20040042229",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P36","Pensionsloven","§ 36","A20150001029_P36",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P13","Pensionsloven","§ 13","A20150001029_P13",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P33","Pensionsloven","§ 33","A20150001029_P33",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P56a","Pensionsloven","§ 56a","A20150001029_P56a",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P72d","Pensionsloven","§ 72d","A20150001029_P72d",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P49","Serviceloven","§ 49","A20150015029_P49",[[Category:NaN_KLE_Data]]
"BEK om social pension (Førtidspension og folkepension)_B20140120005","BEK om social pension (Førtidspension og folkepension)","","B20140120005",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P15a-f","Pensionsloven","§ 15a-f","A20150001029_P15a-f",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P56a","Pensionsloven","§ 56a","A20150001029_P56a",[[Category:NaN_KLE_Data]]
"BEK om social pension (Førtidspension og folkepension)_B20140120005","BEK om social pension (Førtidspension og folkepension)","","B20140120005",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P14","Pensionsloven","§ 14, Stk.2","A20150001029_P14",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P56a","Pensionsloven","§ 56a","A20150001029_P56a",[[Category:NaN_KLE_Data]]
"Gammelførtidspensionsloven_A20150001129_P43","Gammelførtidspensionsloven","§ 43","A20150001129_P43",[[Category:NaN_KLE_Data]]
"Gammelførtidspensionsloven_A20150001129_P17-18","Gammelførtidspensionsloven","§ 17-18","A20150001129_P17-18",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P41","Pensionsloven","§ 41","A20150001029_P41",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P43","Pensionsloven","§ 43","A20150001029_P43",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P14-14a","Pensionsloven","§ 14-14a","A20150001029_P14-14a",[[Category:NaN_KLE_Data]]
"Gammelførtidspensionsloven_A20150001129_P16","Gammelførtidspensionsloven","§ 16","A20150001129_P16",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P33","Pensionsloven","§ 33","A20150001029_P33",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P16-21","Pensionsloven","§ 16-21","A20150001029_P16-21",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P43a-44","Pensionsloven","§ 43a-44","A20150001029_P43a-44",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P56a","Pensionsloven","§ 56a","A20150001029_P56a",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P49","Serviceloven","§ 49","A20150015029_P49",[[Category:NaN_KLE_Data]]
"BEK om kommuner og regioners samarbejde om sundhedsfaglig rådgivning og vurdering i sager om ressourceforløb fleksjob førtidspension m.v._B20140155505","BEK om kommuner og regioners samarbejde om sundhedsfaglig rådgivning og vurdering i sager om ressourceforløb, fleksjob, førtidspension m.v.","","B20140155505",[[Category:NaN_KLE_Data]]
"BEK om rehabiliteringsplan og rehabiliteringsteamets indstilling om ressourceforløb fleksjob førtidspension m.v._B20140155705","BEK om rehabiliteringsplan og rehabiliteringsteamets indstilling om ressourceforløb, fleksjob, førtidspension m.v.","","B20140155705",[[Category:NaN_KLE_Data]]
"BEK om social pension (Førtidspension og folkepension)_B20140120005","BEK om social pension (Førtidspension og folkepension)","","B20140120005",[[Category:NaN_KLE_Data]]
"Pensionsloven_A20150001029_P17","Pensionsloven","§ 17, Stk.3-4","A20150001029_P17",[[Category:NaN_KLE_Data]]
"BEK om seniorførtidspension_B20130155505","BEK om seniorførtidspension","","B20130155505",[[Category:NaN_KLE_Data]]
"Gammelførtidspensionsloven_A20150001129_P21","Gammelførtidspensionsloven","§ 21","A20150001129_P21",[[Category:NaN_KLE_Data]]
"LBK om delpension_A20140094029_P5","LBK om delpension","§ 5","A20140094029_P5",[[Category:NaN_KLE_Data]]
"Delpensionsbekendtgørelsen_B20150055805","Delpensionsbekendtgørelsen","","B20150055805",[[Category:NaN_KLE_Data]]
"Gammelførtidspensionsloven_A20150001129_P14","Gammelførtidspensionsloven","§ 14, Stk.1","A20150001129_P14",[[Category:NaN_KLE_Data]]
"BEK om højeste mellemste forhøjet almindelig og almindelig førtidspension m.v._B20140119905","BEK om højeste, mellemste, forhøjet almindelig og almindelig førtidspension m.v.","","B20140119905",[[Category:NaN_KLE_Data]]
"Gammelførtidspensionsloven_A20150001129_P14","Gammelførtidspensionsloven","§ 14, Stk.2","A20150001129_P14",[[Category:NaN_KLE_Data]]
"BEK om højeste mellemste forhøjet almindelig og almindelig førtidspension m.v._B20140119905","BEK om højeste, mellemste, forhøjet almindelig og almindelig førtidspension m.v.","","B20140119905",[[Category:NaN_KLE_Data]]
"Gammelførtidspensionsloven_A20150001129_P14","Gammelførtidspensionsloven","§ 14, Stk.3","A20150001129_P14",[[Category:NaN_KLE_Data]]
"BEK om højeste mellemste forhøjet almindelig og almindelig førtidspension m.v._B20140119905","BEK om højeste, mellemste, forhøjet almindelig og almindelig førtidspension m.v.","","B20140119905",[[Category:NaN_KLE_Data]]
"Gammelførtidspensionsloven_A20150001129_P14","Gammelførtidspensionsloven","§ 14, Stk.3","A20150001129_P14",[[Category:NaN_KLE_Data]]
"BEK om højeste mellemste forhøjet almindelig og almindelig førtidspension m.v._B20140119905","BEK om højeste, mellemste, forhøjet almindelig og almindelig førtidspension m.v.","","B20140119905",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P7a","Boligstøtteloven","§ 7a","A20150015829_P7a",[[Category:NaN_KLE_Data]]
"Friplejeboligloven_A20110089729_P16","Friplejeboligloven","§ 16","A20110089729_P16",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P21","Boligstøtteloven","§ 21","A20150015829_P21",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P40","Boligstøtteloven","§ 40","A20150015829_P40",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P9b","Boligstøtteloven","§ 9b","A20150015829_P9b",[[Category:NaN_KLE_Data]]
"Friplejeboligloven_A20110089729_P16","Friplejeboligloven","§ 16","A20110089729_P16",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P22","Boligstøtteloven","§ 22","A20150015829_P22",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P40","Boligstøtteloven","§ 40","A20150015829_P40",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P9b","Boligstøtteloven","§ 9b","A20150015829_P9b",[[Category:NaN_KLE_Data]]
"Friplejeboligloven_A20110089729_P16","Friplejeboligloven","§ 16","A20110089729_P16",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P22","Boligstøtteloven","§ 22","A20150015829_P22",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P40","Boligstøtteloven","§ 40","A20150015829_P40",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P9b","Boligstøtteloven","§ 9b","A20150015829_P9b",[[Category:NaN_KLE_Data]]
"Friplejeboligloven_A20110089729_P16","Friplejeboligloven","§ 16","A20110089729_P16",[[Category:NaN_KLE_Data]]
"Boligstøtteloven_A20150015829_P54-71","Boligstøtteloven","§ 54-71","A20150015829_P54-71",[[Category:NaN_KLE_Data]]
"Friplejeboligloven_A20110089729_P19","Friplejeboligloven","§ 19","A20110089729_P19",[[Category:NaN_KLE_Data]]
"Ældreboligloven_A20100066629_P16","Ældreboligloven","§ 16","A20100066629_P16",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P22","Børnetilskudsloven","§ 22","A20140109529_P22",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P2-3","Børnetilskudsloven","§ 2-3","A20140109529_P2-3",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P22-22a","Børnetilskudsloven","§ 22-22a","A20140109529_P22-22a",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P4","Børnetilskudsloven","§ 4","A20140109529_P4",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P22","Børnetilskudsloven","§ 22","A20140109529_P22",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P22","Børnetilskudsloven","§ 22","A20140109529_P22",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P10a-10b","Børnetilskudsloven","§ 10a-10b","A20140109529_P10a-10b",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P22","Børnetilskudsloven","§ 22","A20140109529_P22",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_P10c","Børnetilskudsloven","§ 10c","A20140109529_P10c",[[Category:NaN_KLE_Data]]
"Jobpræmieloven_A20100159330","Jobpræmieloven","","A20100159330",[[Category:NaN_KLE_Data]]
"LBK om en børne- og ungeydelse_A20110096429_P4","LBK om en børne- og ungeydelse","§ 4","A20110096429_P4",[[Category:NaN_KLE_Data]]
"Bidragsopkrævningsloven_A20140108629_P2","Bidragsopkrævningsloven","§ 2","A20140108629_P2",[[Category:NaN_KLE_Data]]
"Børnetilskudsloven_A20140109529_Kap3","Børnetilskudsloven","Kap.3","A20140109529_Kap3",[[Category:NaN_KLE_Data]]
"Børnebidragsloven_A20140110029","Børnebidragsloven","","A20140110029",[[Category:NaN_KLE_Data]]
"Bidragsopkrævningsloven_A20140108629_P2","Bidragsopkrævningsloven","§ 2","A20140108629_P2",[[Category:NaN_KLE_Data]]
"Bidragsopkrævningsloven_A20140108629_P2","Bidragsopkrævningsloven","§ 2","A20140108629_P2",[[Category:NaN_KLE_Data]]
"Bidragsopkrævningsloven_A20140108629_P2","Bidragsopkrævningsloven","§ 2","A20140108629_P2",[[Category:NaN_KLE_Data]]
"Børnebidragsloven_A20140110029_P15","Børnebidragsloven","§ 15","A20140110029_P15",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P41","Serviceloven","§ 41","A20150015029_P41",[[Category:NaN_KLE_Data]]
"BEK om tilskud til pasning af børn med handicap eller langvarig sygdom_B20150003205_Kap1","BEK om tilskud til pasning af børn med handicap eller langvarig sygdom","Kap.1","B20150003205_Kap1",[[Category:NaN_KLE_Data]]
"BEK om ydelser efter lov om social service under midlertidige ophold i udlandet_B20090129605","BEK om ydelser efter lov om social service under midlertidige ophold i udlandet","","B20090129605",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P100","Serviceloven","§ 100","A20150015029_P100",[[Category:NaN_KLE_Data]]
"BEK om nødvendige merudgifter ved den daglige livsførelse_B20120143405","BEK om nødvendige merudgifter ved den daglige livsførelse","","B20120143405",[[Category:NaN_KLE_Data]]
"BEK om vurdering af nedsat funktionsevne som grundlag for tildeling af handicapkompenserende ydelser_B20120003905","BEK om vurdering af nedsat funktionsevne som grundlag for tildeling af handicapkompenserende ydelser
","","B20120003905",[[Category:NaN_KLE_Data]]
"BEK om ydelser efter lov om social service under midlertidige ophold i udlandet_B20090129605","BEK om ydelser efter lov om social service under midlertidige ophold i udlandet","","B20090129605",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P42-43","Serviceloven","§ 42-43","A20150015029_P42-43",[[Category:NaN_KLE_Data]]
